0,1,2,3,4,5,6,7,8,9
27,0.59,0.45,0.53,0.19,0.5,0.0,0.8082191780821918,0.27,CYT
28,0.57,0.47,0.6,0.18,0.5,0.0,0.6986301369863014,0.22,CYT
29,0.63,0.67,0.57,0.24,0.5,0.0,0.6712328767123288,0.22,MIT
30,0.8,0.88,0.36,0.39,0.5,0.0,0.767123287671233,0.33,ME1
31,0.53,0.54,0.43,0.1,0.5,0.0,0.7808219178082191,0.32,NUC
32,0.51,0.51,0.43,0.87,0.5,0.0,0.7123287671232877,0.22,MIT
33,0.38,0.61,0.61,0.12,0.5,0.0,0.726027397260274,0.47,CYT
34,0.33,0.55,0.51,0.43,0.5,0.0,0.6986301369863014,0.22,NUC
35,0.78,0.74,0.42,0.26,0.5,0.0,0.589041095890411,0.22,ME1
36,0.74,0.67,0.47,0.34,0.5,0.0,0.5753424657534246,0.22,EXC
37,0.72,0.61,0.45,0.3,0.5,0.0,0.7397260273972603,0.25,MIT
38,0.4,0.45,0.57,0.18,0.5,0.0,0.767123287671233,0.26,CYT
39,0.59,0.53,0.43,0.44,0.5,0.0,0.684931506849315,0.22,MIT
40,0.57,0.53,0.53,0.34,0.5,0.0,0.726027397260274,0.22,MIT
41,0.86,0.68,0.39,0.24,0.5,0.0,0.7397260273972603,0.22,ME2
42,0.86,0.74,0.51,0.4,0.5,0.0,0.7534246575342467,0.22,ME2
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ME2
44,0.41,0.54,0.39,0.2,0.5,0.0,0.6986301369863014,0.22,ME3
45,0.37,0.36,0.56,0.18,0.5,0.0,0.6575342465753424,0.26,VAC
46,0.53,0.31,0.58,0.39,0.5,0.0,0.6438356164383562,0.37,NUC
47,0.74,0.75,0.58,0.47,0.5,0.0,0.5479452054794521,0.35,ME2
48,0.49,0.39,0.52,0.29,0.5,0.0,0.6575342465753424,0.22,EXC
49,0.74,0.57,0.51,0.28,0.5,0.0,0.7945205479452054,0.22,VAC
50,0.42,0.24,0.34,0.16,0.5,0.0,0.684931506849315,0.22,ME3
51,0.48,0.39,0.51,0.21,0.5,0.0,0.7123287671232877,0.28,CYT
52,0.41,0.53,0.45,0.14,0.5,0.0,0.7123287671232877,0.66,ME3
53,0.45,0.46,0.55,0.43,0.5,0.0,0.7534246575342467,0.38,NUC
54,0.56,0.48,0.58,0.27,0.5,0.0,0.6986301369863014,0.22,CYT
55,0.64,0.59,0.56,0.23,0.5,0.0,0.6301369863013699,0.22,CYT
56,0.64,0.56,0.56,0.22,0.5,0.0,0.6164383561643836,0.22,CYT
57,0.66,0.62,0.49,0.1,0.5,0.0,0.6712328767123288,0.22,CYT
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CYT
59,0.38,0.49,0.53,0.19,0.5,0.0,0.684931506849315,0.22,CYT
60,0.45,0.58,0.48,0.67,0.5,0.0,0.7123287671232877,0.22,MIT
61,0.43,0.35,0.52,0.52,0.5,0.0,0.7397260273972603,0.22,MIT
62,0.37,0.32,0.47,0.18,0.5,0.0,0.6164383561643836,0.25,NUC
63,0.48,0.43,0.51,0.32,0.5,0.0,0.7123287671232877,0.43,NUC
64,0.41,0.46,0.59,0.19,0.5,0.0,0.7945205479452054,0.27,NUC
65,0.54,0.48,0.44,0.08,0.5,0.0,0.7123287671232877,0.27,CYT
66,0.6,0.47,0.45,0.22,0.5,0.0,0.6986301369863014,0.29,CYT
67,0.34,0.46,0.57,0.09,0.5,0.0,0.7534246575342467,0.22,CYT
68,0.48,0.54,0.55,0.12,0.5,0.0,0.6986301369863014,0.22,CYT
69,0.47,0.39,0.59,0.15,0.5,0.0,0.7808219178082191,0.22,CYT
70,0.81,0.85,0.47,0.37,0.5,0.0,0.767123287671233,0.22,EXC
71,0.48,0.42,0.52,0.24,0.5,0.0,0.767123287671233,0.22,CYT
72,0.58,0.51,0.49,0.27,0.5,0.0,0.7808219178082191,0.29,CYT
73,0.6,0.5,0.44,0.61,0.5,0.0,0.6438356164383562,0.22,MIT
74,0.45,0.55,0.54,0.66,0.5,0.0,0.6438356164383562,0.22,MIT
75,0.46,0.49,0.58,0.23,0.5,0.0,0.6027397260273972,0.22,MIT
76,0.49,0.42,0.56,0.55,0.5,0.0,0.5753424657534246,0.25,MIT
77,0.63,0.53,0.54,0.4,0.5,0.0,0.684931506849315,0.22,MIT
78,0.5,0.54,0.53,0.54,0.5,0.0,0.6986301369863014,0.27,MIT
79,0.63,0.57,0.59,0.4,0.5,0.0,0.5205479452054794,0.22,MIT
80,0.43,0.57,0.51,0.49,0.5,0.0,0.6575342465753424,0.22,MIT
81,0.48,0.45,0.55,0.5,0.5,0.0,0.726027397260274,0.22,MIT
82,0.5,0.58,0.46,0.46,0.5,0.0,0.6301369863013699,0.22,MIT
83,0.51,0.54,0.6,0.57,0.5,0.0,0.7945205479452054,0.22,MIT
84,0.54,0.52,0.63,0.37,0.5,0.0,0.6301369863013699,0.22,MIT
85,0.67,0.62,0.4,0.43,0.5,1.0,0.684931506849315,0.22,MIT
86,0.28,0.58,0.21,0.13,0.5,0.0,0.6986301369863014,0.22,ME3
87,0.39,0.44,0.35,0.16,0.5,0.0,0.7534246575342467,0.22,ME3
88,0.8,0.63,0.45,0.29,0.5,0.0,0.6986301369863014,0.22,EXC
89,0.5,0.52,0.59,0.3,0.5,0.0,0.6986301369863014,0.35,NUC
90,0.42,0.47,0.52,0.41,0.5,0.0,0.726027397260274,0.32,CYT
91,0.36,0.46,0.62,0.46,0.5,0.0,0.6986301369863014,0.33,CYT
92,0.46,0.38,0.47,0.22,0.5,0.0,0.7123287671232877,0.27,MIT
93,0.4,0.45,0.56,0.2,0.5,0.0,0.6164383561643836,0.22,CYT
94,0.33,0.43,0.64,0.16,0.5,0.0,0.7123287671232877,0.52,NUC
95,0.49,0.61,0.49,0.25,0.5,0.0,0.684931506849315,0.28,CYT
96,0.38,0.5,0.37,0.26,0.5,0.0,0.589041095890411,0.22,ME3
97,0.69,0.7,0.52,0.36,0.5,0.0,0.6301369863013699,0.22,EXC
98,0.61,0.72,0.39,0.33,0.5,0.0,0.7945205479452054,0.22,MIT
99,0.78,0.75,0.4,0.28,0.5,0.0,0.726027397260274,0.22,MIT
100,0.64,0.57,0.57,0.27,0.5,0.0,0.5068493150684932,0.22,CYT
101,0.36,0.58,0.35,0.24,0.5,0.0,0.6027397260273972,0.22,ME3
102,0.36,0.43,0.39,0.12,0.5,0.0,0.6712328767123288,0.22,ME3
103,0.47,0.52,0.5,0.4,0.5,0.0,0.5616438356164384,0.22,CYT
104,0.48,0.23,0.57,0.27,0.5,0.0,0.6575342465753424,0.47,NUC
105,0.47,0.39,0.55,0.24,0.5,0.0,0.6438356164383562,0.22,CYT
106,0.44,0.59,0.36,0.16,0.5,0.0,0.7123287671232877,0.22,ME3
107,0.42,0.35,0.54,0.18,0.5,0.0,0.767123287671233,0.22,CYT
108,0.3,0.56,0.55,0.18,0.5,0.0,0.684931506849315,0.22,CYT
109,0.65,0.65,0.52,0.16,0.5,0.0,0.821917808219178,0.22,CYT
110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CYT
111,0.45,0.41,0.5,0.46,0.5,0.6024096385542169,0.684931506849315,0.27,POX
112,0.44,0.52,0.41,0.23,0.5,0.0,0.6986301369863014,0.22,NUC
113,0.3,0.32,0.57,0.19,0.5,0.0,0.6575342465753424,0.55,NUC
114,0.4,0.44,0.49,0.47,0.5,0.0,0.6712328767123288,0.27,NUC
115,0.45,0.51,0.5,0.16,0.5,0.0,0.7123287671232877,1.0,NUC
116,0.45,0.45,0.5,0.6,0.5,0.0,0.6712328767123288,0.22,MIT
117,0.59,0.67,0.56,0.41,0.5,0.0,0.6438356164383562,0.22,MIT
118,0.47,0.47,0.57,0.48,0.5,0.0,0.6575342465753424,0.22,MIT
119,0.35,0.52,0.48,0.22,0.5,0.0,0.35616438356164387,0.22,MIT
120,0.47,0.41,0.66,0.26,0.5,0.0,0.726027397260274,0.22,MIT
121,0.64,0.62,0.29,0.28,0.5,0.0,0.6986301369863014,0.22,MIT
122,0.55,0.53,0.55,0.46,0.5,0.0,0.7123287671232877,0.22,MIT
123,0.67,0.62,0.54,0.43,0.5,0.0,0.726027397260274,0.22,MIT
124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIT
125,0.54,0.55,0.34,0.31,0.5,0.0,0.7397260273972603,0.22,ME3
126,0.58,0.62,0.54,0.17,0.5,0.0,0.6575342465753424,0.22,MIT
127,0.4,0.38,0.53,0.16,0.5,0.0,0.7123287671232877,0.27,NUC
128,0.46,0.71,0.48,0.53,0.5,0.0,0.726027397260274,0.22,MIT
129,0.53,0.51,0.55,0.05,0.5,0.0,0.6164383561643836,0.25,NUC
130,0.41,0.4,0.59,0.47,0.5,0.0,0.6575342465753424,0.43,CYT
131,0.5,0.64,0.57,0.15,0.5,0.0,0.6438356164383562,0.22,CYT
132,0.4,0.62,0.52,0.31,0.5,0.0,0.6712328767123288,0.31,CYT
133,0.6,0.5,0.57,0.25,0.5,0.0,0.5616438356164384,0.26,CYT
134,0.62,0.51,0.52,0.42,0.5,0.0,0.7397260273972603,0.27,NUC
135,0.35,0.58,0.54,0.16,0.5,0.0,0.6986301369863014,0.22,NUC
136,0.34,0.54,0.5,0.21,0.5,0.0,0.7397260273972603,0.31,CYT
137,0.39,0.58,0.5,0.26,0.5,0.0,0.7397260273972603,0.59,ME3
138,0.48,0.54,0.5,0.17,0.5,0.0,0.726027397260274,0.22,NUC
139,0.29,0.32,0.58,0.15,0.5,0.0,0.684931506849315,0.3,CYT
140,0.47,0.32,0.64,0.3,0.5,0.0,0.863013698630137,0.22,NUC
141,0.39,0.47,0.56,0.16,0.5,0.0,0.6438356164383562,0.22,CYT
142,0.58,0.48,0.51,0.47,0.5,0.0,0.7534246575342467,0.22,NUC
143,0.64,0.6,0.57,0.19,0.5,0.0,0.589041095890411,0.22,NUC
144,0.37,0.46,0.4,0.27,0.5,0.0,0.6164383561643836,0.22,NUC
145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CYT
146,0.28,0.37,0.61,0.09,0.5,0.0,0.7123287671232877,0.55,NUC
147,0.59,0.48,0.5,0.14,0.5,0.0,0.6164383561643836,0.25,CYT
148,0.39,0.55,0.48,0.31,0.5,0.0,0.7397260273972603,0.29,CYT
149,0.26,0.36,0.47,0.34,0.5,0.0,0.726027397260274,0.72,NUC
150,0.51,0.34,0.5,0.19,0.5,0.0,0.684931506849315,0.22,NUC
151,0.58,0.5,0.5,0.12,0.5,0.0,0.6575342465753424,0.25,NUC
152,0.44,0.39,0.53,0.14,0.5,0.0,0.7397260273972603,0.44,CYT
153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NUC
154,0.45,0.43,0.51,0.24,0.5,0.0,0.7397260273972603,0.33,CYT
155,0.36,0.68,0.46,0.16,0.5,0.0,0.726027397260274,0.28,NUC
156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NUC
157,0.42,0.43,0.56,0.1,0.5,0.0,0.6712328767123288,0.22,CYT
158,0.67,0.71,0.52,0.65,0.5,0.0,0.726027397260274,0.36,NUC
159,0.49,0.47,0.53,0.16,0.5,0.0,0.6575342465753424,0.27,NUC
160,0.71,0.59,0.48,0.43,0.5,0.0,0.8082191780821918,0.22,MIT
161,0.4,0.42,0.71,0.21,0.5,0.0,0.7397260273972603,0.32,CYT
162,0.4,0.42,0.71,0.21,0.5,0.0,0.7397260273972603,0.32,CYT
163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CYT
164,0.42,0.51,0.5,0.12,0.5,0.0,0.7123287671232877,0.46,NUC
165,0.57,0.51,0.53,0.18,0.5,0.0,0.767123287671233,0.25,NUC
166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ME3
167,0.42,0.42,0.42,0.2,0.5,0.0,0.6712328767123288,0.22,ME3
168,0.26,0.5,0.33,0.28,0.5,0.0,0.6986301369863014,0.22,ME3
169,0.39,0.42,0.38,0.4,0.5,0.0,0.6712328767123288,0.47,ME3
170,0.26,0.44,0.3,0.11,0.5,0.0,0.6986301369863014,0.47,ME3
171,0.31,0.44,0.53,0.23,0.5,0.0,0.6986301369863014,0.32,NUC
172,0.48,0.61,0.44,0.2,0.5,0.0,0.6438356164383562,0.22,CYT
173,0.66,0.45,0.5,0.23,0.5,0.0,0.6712328767123288,0.22,CYT
174,0.21,0.41,0.55,0.11,0.5,0.0,0.684931506849315,0.27,CYT
175,0.38,0.68,0.44,0.45,0.5,0.0,0.726027397260274,0.22,MIT
176,0.44,0.38,0.48,0.32,0.5,1.0,0.726027397260274,0.22,POX
177,0.31,0.31,0.56,0.33,0.5,0.0,0.7123287671232877,0.33,NUC
178,0.49,0.31,0.49,0.35,0.5,0.0,0.6986301369863014,0.29,NUC
179,0.38,0.37,0.56,0.21,0.5,0.0,0.6712328767123288,0.22,NUC
180,0.39,0.4,0.53,0.67,0.5,0.0,0.6438356164383562,0.22,CYT
181,0.24,0.34,0.69,0.18,0.5,0.0,0.7123287671232877,0.22,CYT
182,0.49,0.43,0.51,0.13,0.5,0.0,0.6438356164383562,0.22,CYT
183,0.54,0.38,0.52,0.18,0.5,0.0,0.6575342465753424,0.22,CYT
184,0.43,0.57,0.53,0.53,0.5,0.0,0.726027397260274,0.25,CYT
185,0.48,0.64,0.61,0.23,0.5,0.0,0.821917808219178,0.22,CYT
186,0.31,0.55,0.52,0.17,0.5,0.0,0.7123287671232877,0.22,CYT
187,0.32,0.57,0.5,0.15,0.5,0.0,0.726027397260274,0.22,CYT
188,0.32,0.42,0.52,0.24,0.5,0.0,0.821917808219178,0.22,CYT
189,0.59,0.5,0.52,0.28,0.5,0.0,0.7534246575342467,0.25,CYT
190,0.37,0.42,0.51,0.11,0.5,0.0,0.7808219178082191,0.22,CYT
191,0.75,0.7,0.38,0.27,0.5,0.0,0.6712328767123288,0.22,ME1
192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIT
193,0.44,0.42,0.6,0.21,0.5,0.0,0.7808219178082191,0.22,CYT
194,0.52,0.51,0.51,0.54,0.5,0.0,0.7534246575342467,0.27,MIT
195,0.63,0.56,0.45,0.58,0.5,0.0,0.6986301369863014,0.22,MIT
196,0.52,0.56,0.54,0.53,0.5,0.0,0.6164383561643836,0.22,MIT
197,0.58,0.58,0.58,0.49,0.5,0.0,0.6712328767123288,0.26,MIT
198,0.72,0.62,0.34,0.29,0.5,0.0,0.767123287671233,0.28,MIT
199,0.72,0.61,0.37,0.3,0.5,0.0,0.7808219178082191,0.22,MIT
200,0.46,0.43,0.38,0.33,0.5,0.0,0.6575342465753424,0.28,MIT
201,0.57,0.57,0.44,0.37,0.5,0.0,0.7123287671232877,0.25,MIT
202,0.42,0.31,0.62,0.12,0.5,0.0,0.5479452054794521,0.22,MIT
203,0.49,0.46,0.45,0.45,0.5,0.0,0.7123287671232877,0.22,MIT
204,0.42,0.58,0.41,0.65,0.5,0.0,0.6301369863013699,0.26,MIT
205,0.59,0.61,0.34,0.22,0.5,0.0,0.6986301369863014,0.22,MIT
206,0.52,0.77,0.38,0.34,0.5,0.0,0.6986301369863014,0.22,MIT
207,0.5,0.52,0.6,0.51,0.5,0.0,0.6575342465753424,0.22,MIT
208,0.49,0.6,0.43,0.56,0.5,0.0,0.4931506849315068,0.22,MIT
209,0.5,0.41,0.44,0.5,0.5,0.0,0.5753424657534246,0.22,MIT
210,0.5,0.4,0.56,0.7,0.5,0.0,0.684931506849315,0.22,MIT
211,0.37,0.58,0.44,0.51,0.5,0.0,0.6027397260273972,0.22,MIT
212,0.55,0.45,0.45,0.54,0.5,0.0,0.684931506849315,0.22,MIT
213,0.67,0.68,0.46,0.29,0.5,0.0,0.6301369863013699,0.22,MIT
214,0.53,0.51,0.46,0.28,0.5,0.0,0.6575342465753424,0.22,CYT
215,0.35,0.66,0.49,0.21,0.5,0.0,0.7397260273972603,0.25,CYT
216,0.52,0.4,0.6,0.12,0.5,0.0,0.7534246575342467,0.22,CYT
217,0.77,0.79,0.58,0.23,0.5,0.0,0.6575342465753424,0.22,EXC
218,0.47,0.46,0.59,0.49,0.5,0.0,0.767123287671233,0.22,MIT
219,0.73,0.83,0.43,0.3,0.5,0.0,0.7534246575342467,0.22,ME1
220,0.78,0.74,0.58,0.25,1.0,0.0,0.726027397260274,0.22,ERL
221,0.7,0.65,0.54,0.28,0.5,0.0,0.821917808219178,0.4,VAC
222,0.47,0.54,0.37,0.14,0.5,0.0,0.684931506849315,0.22,ME3
223,0.56,0.52,0.48,0.17,0.5,0.0,0.6301369863013699,0.22,NUC
224,0.57,0.41,0.59,0.24,0.5,0.0,0.5479452054794521,0.22,CYT
225,0.56,0.41,0.58,0.21,0.5,0.0,0.5753424657534246,0.22,CYT
226,0.58,0.56,0.45,0.12,0.5,0.0,0.6986301369863014,0.22,NUC
227,0.53,0.38,0.66,0.25,0.5,0.0,0.589041095890411,0.22,NUC
228,0.34,0.36,0.54,0.11,0.5,0.0,0.4931506849315068,0.21,NUC
229,0.69,0.61,0.38,0.27,0.5,0.0,0.7123287671232877,0.22,ME2
230,0.37,0.53,0.6,0.19,0.5,0.6024096385542169,0.5753424657534246,0.22,POX
231,0.41,0.45,0.53,0.17,0.5,0.0,0.6986301369863014,0.25,NUC
232,0.31,0.46,0.54,0.52,0.5,0.0,0.684931506849315,0.34,NUC
233,0.36,0.37,0.33,0.14,0.5,0.0,0.7808219178082191,0.31,ME3
234,0.82,0.78,0.49,0.23,0.5,0.0,0.6301369863013699,0.22,EXC
235,0.82,0.75,0.54,0.23,0.5,0.0,0.6301369863013699,0.22,EXC
236,0.41,0.51,0.58,0.15,0.5,0.0,0.6164383561643836,0.27,CYT
237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CYT
238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CYT
239,0.53,0.44,0.51,0.33,0.5,0.0,0.7123287671232877,0.22,MIT
240,0.46,0.54,0.71,0.15,0.5,0.0,0.8082191780821918,0.22,MIT
241,0.4,0.56,0.48,0.14,0.5,0.0,0.6438356164383562,0.22,MIT
242,0.53,0.53,0.6,0.13,0.5,0.0,0.6712328767123288,0.22,MIT
243,0.42,0.57,0.72,0.22,0.5,0.0,0.7808219178082191,0.22,MIT
244,0.45,0.27,0.57,0.36,0.5,0.0,0.7123287671232877,0.18,CYT
245,0.2,0.26,0.52,0.14,0.5,0.0,0.726027397260274,0.44,CYT
246,0.51,0.53,0.55,0.14,0.5,0.0,0.6986301369863014,0.22,CYT
247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIT
248,0.27,0.39,0.66,0.11,0.5,0.0,0.6027397260273972,0.22,MIT
249,0.55,0.42,0.34,0.3,0.5,0.0,0.7123287671232877,0.22,ME3
250,0.34,0.42,0.3,0.23,0.5,0.0,0.726027397260274,0.22,ME3
251,0.44,0.53,0.52,0.23,0.5,1.0,0.6986301369863014,0.22,POX
252,0.59,0.58,0.56,0.21,0.5,0.0,0.7397260273972603,0.33,NUC
253,0.39,0.28,0.46,0.12,0.5,0.0,0.5616438356164384,0.22,NUC
254,0.56,0.43,0.54,0.16,0.5,0.0,0.684931506849315,0.22,NUC
255,0.36,0.68,0.38,0.08,0.5,0.0,0.726027397260274,0.25,VAC
256,0.27,0.36,0.6,0.33,0.5,0.0,0.5068493150684932,0.31,NUC
257,0.35,0.4,0.59,0.22,0.5,0.0,0.6438356164383562,0.37,NUC
258,0.42,0.32,0.5,0.21,0.5,0.0,0.6986301369863014,0.22,NUC
259,0.23,0.2,0.53,0.2,0.5,0.0,0.6027397260273972,0.22,NUC
260,0.55,0.54,0.56,0.22,0.5,0.0,0.684931506849315,0.37,NUC
261,0.36,0.24,0.49,0.16,0.5,0.0,0.6986301369863014,0.22,NUC
262,0.38,0.48,0.59,0.22,0.5,0.0,0.6301369863013699,0.22,CYT
263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CYT
264,0.6,0.56,0.47,0.2,0.5,0.0,0.684931506849315,0.38,NUC
265,0.41,0.24,0.54,0.26,0.5,0.0,0.5616438356164384,0.22,NUC
266,0.47,0.65,0.54,0.62,0.5,0.0,0.726027397260274,0.36,MIT
267,0.43,0.39,0.54,0.14,0.5,0.0,0.6438356164383562,0.22,NUC
268,0.5,0.51,0.52,0.09,0.5,0.0,0.6575342465753424,0.25,NUC
269,0.53,0.61,0.52,0.21,0.5,0.0,0.7534246575342467,0.3,NUC
270,0.54,0.42,0.41,0.16,0.5,0.0,0.7123287671232877,0.22,ME2
271,0.46,0.35,0.53,0.16,0.5,0.0,0.6986301369863014,0.29,CYT
272,0.46,0.43,0.49,0.79,0.5,0.0,0.6712328767123288,0.63,NUC
273,0.51,0.55,0.35,0.16,0.5,0.0,0.6986301369863014,0.47,ME3
274,0.56,0.52,0.55,0.19,0.5,0.0,0.7397260273972603,0.22,CYT
275,0.61,0.3,0.59,0.12,0.5,0.0,0.6712328767123288,0.27,NUC
276,0.37,0.53,0.46,0.23,0.5,0.0,0.6438356164383562,0.22,NUC
277,0.83,0.58,0.33,0.04,0.5,0.0,0.726027397260274,0.22,ME2
278,0.39,0.45,0.53,0.18,0.5,0.0,0.7397260273972603,0.22,CYT
279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CYT
280,0.35,0.39,0.57,0.11,0.5,0.0,0.6575342465753424,0.22,NUC
281,0.36,0.49,0.3,0.22,0.5,0.0,0.7123287671232877,0.31,ME3
282,0.78,0.7,0.32,0.23,0.5,0.0,0.726027397260274,0.22,ME1
283,0.55,0.46,0.53,0.11,0.5,0.0,0.7123287671232877,0.48,CYT
284,0.45,0.56,0.54,0.32,0.5,0.0,0.7808219178082191,0.22,CYT
285,0.45,0.56,0.53,0.32,0.5,0.0,0.7808219178082191,0.22,CYT
286,0.29,0.43,0.4,0.15,0.5,0.0,0.726027397260274,0.22,ME3
287,0.52,0.75,0.37,0.14,0.5,0.0,0.6301369863013699,0.22,ME3
288,0.71,0.56,0.39,0.27,0.5,0.0,0.7123287671232877,0.22,ME2
289,0.58,0.6,0.43,0.12,0.5,0.0,0.7534246575342467,0.22,ME3
290,0.54,0.65,0.49,0.34,0.5,0.0,0.7123287671232877,0.22,CYT
291,0.57,0.59,0.44,0.16,0.5,0.0,0.7123287671232877,0.22,ME2
292,0.59,0.58,0.46,0.19,0.5,0.0,0.767123287671233,0.27,CYT
293,0.92,0.61,0.4,0.22,0.5,0.0,0.7397260273972603,0.22,ME2
294,0.55,0.56,0.45,0.14,0.5,0.0,0.7397260273972603,0.22,CYT
295,0.63,0.61,0.41,0.22,0.5,0.0,0.6986301369863014,0.22,ME3
296,0.58,0.53,0.38,0.18,0.5,0.0,0.7123287671232877,0.22,ME3
297,0.36,0.46,0.43,0.19,0.5,0.0,0.6575342465753424,0.22,ME3
298,0.32,0.47,0.55,0.12,0.5,0.0,0.7123287671232877,0.22,CYT
299,0.34,0.38,0.45,0.19,0.5,0.0,0.6986301369863014,0.22,ME2
300,0.62,0.58,0.46,0.13,0.5,0.0,0.726027397260274,0.22,CYT
301,0.53,0.68,0.42,0.19,0.5,0.0,0.726027397260274,0.22,ME3
302,0.73,0.55,0.41,0.16,0.5,0.0,0.6301369863013699,0.22,ME2
303,0.55,0.46,0.46,0.31,0.5,0.0,0.7945205479452054,0.48,NUC
304,0.35,0.6,0.47,0.13,0.5,0.0,0.7123287671232877,0.43,NUC
305,0.77,0.8,0.51,0.4,1.0,0.0,0.7397260273972603,0.22,ERL
306,0.77,0.87,0.47,0.37,0.5,0.0,0.6575342465753424,0.22,EXC
307,0.35,0.46,0.49,0.15,1.0,0.0,0.7534246575342467,0.35,CYT
308,0.43,0.51,0.48,0.14,0.5,0.0,0.684931506849315,0.22,CYT
309,0.57,0.61,0.45,0.26,0.5,0.0,0.684931506849315,0.22,CYT
310,0.63,0.62,0.42,0.12,0.5,0.0,0.7123287671232877,0.25,CYT
311,0.25,0.4,0.51,0.18,0.5,0.0,0.684931506849315,0.27,CYT
312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CYT
313,0.58,0.6,0.51,0.24,0.5,0.0,0.726027397260274,0.22,CYT
314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CYT
315,0.46,0.35,0.33,0.17,0.5,0.0,0.7534246575342467,0.22,ME3
316,0.54,0.55,0.42,0.22,0.5,0.0,0.6575342465753424,0.22,ME3
317,0.39,0.44,0.28,0.12,0.5,0.0,0.6301369863013699,0.27,ME3
318,0.33,0.44,0.49,0.08,0.5,0.0,0.6575342465753424,0.49,NUC
319,0.81,0.82,0.41,0.36,0.5,0.0,0.5342465753424658,0.22,EXC
320,0.69,0.6,0.51,0.13,0.5,1.0,0.7123287671232877,0.22,POX
321,0.46,0.48,0.44,0.21,0.5,0.0,0.7534246575342467,0.22,POX
322,0.35,0.36,0.57,0.17,0.5,0.0,0.7123287671232877,0.22,CYT
323,0.74,0.72,0.47,0.25,0.5,0.0,0.7808219178082191,0.22,ME1
324,0.54,0.57,0.52,0.19,0.5,0.0,0.8082191780821918,0.67,NUC
325,0.42,0.52,0.4,0.17,0.5,0.0,0.684931506849315,0.26,ME3
326,0.91,0.77,0.34,0.47,0.5,0.0,0.7123287671232877,0.31,ME1
327,0.81,0.9,0.39,0.41,0.5,0.0,0.726027397260274,0.22,ME2
328,0.45,0.4,0.56,0.14,0.5,0.0,0.7397260273972603,0.22,CYT
